what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463719713941
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1463719716450
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463719718141
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463719726675
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1463719726699
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1463719729766
started,bundle,org.eclipse.pde.api.tools,1.0.100.v20090526,"org.eclipse.pde.api.tools",1463719740106
started,bundle,org.eclipse.pde.api.tools.ui,1.0.100.v20090526,"org.eclipse.pde.api.tools.ui",1463719740123
started,bundle,org.eclipse.mylyn.java.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.ui",1463719740131
started,bundle,org.eclipse.mylyn.pde.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.pde.ui",1463719740160
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1463719740621
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1463719741439
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1463719741807
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1463719742215
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1463719742402
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1463719766908
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1463719767159
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463719770440
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463719780854
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1463719780879
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1463719795192
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463719899986
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463719913742
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463719926044
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463719929447
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463719941520
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463719943554
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463719951753
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463719954254
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463719960010
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463719988089
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1463720019008
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1463720024734
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1463720030895
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1463720031060
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1463720031204
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1463720031325
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1463720031890
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1463720031918
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1463720031949
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1463720031976
